Baseline 100%T,,Baseline 0%T,,Stock_nm,Stock_abs,2x_nm,2x_abs,4x_nm,Fluro_UV_4x_abs,6x_nm,6x_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
421.0028076,85.72369385,421.0028076,0.006964758504,421.0028076,0.1887911111,421.0028076,0.08949892968,421.0028076,0.04251456633,421.0028076,0.04042138159,
420.0018005,85.66136932,420.0018005,0.01940428838,420.0018005,0.1783923954,420.0018005,0.08431236446,420.0018005,0.04004095495,420.0018005,0.03867203742,
419.0006104,85.69325256,419.0006104,-0.003532320727,419.0006104,0.1695907414,419.0006104,0.08054246008,419.0006104,0.03820530698,419.0006104,0.03741208836,
417.9993286,85.64746857,417.9993286,-0.003888176056,417.9993286,0.1600029022,417.9993286,0.07619392872,417.9993286,0.0357764028,417.9993286,0.03581640124,
416.9978027,85.67691803,416.9978027,0.01932284236,416.9978027,0.1519863307,416.9978027,0.07252310216,416.9978027,0.03391994536,416.9978027,0.03479985148,
415.9961243,85.66015625,415.9961243,-0.006868446711,415.9961243,0.1444997638,415.9961243,0.06881254166,415.9961243,0.03203599527,415.9961243,0.03354332224,
414.9942932,85.64014435,414.9942932,-0.007593590766,414.9942932,0.1372760087,414.9942932,0.06561596692,414.9942932,0.03028767556,414.9942932,0.03247217461,
413.9923096,85.66233826,413.9923096,0.00533432886,413.9923096,0.1309929043,413.9923096,0.06260073185,413.9923096,0.02911001816,413.9923096,0.03173563257,
412.9901123,85.67874146,412.9901123,0.01895888522,412.9901123,0.1253423244,412.9901123,0.0602718927,412.9901123,0.02776825801,412.9901123,0.03108096309,
411.9877319,85.64863586,411.9877319,0.02172732167,411.9877319,0.1204776913,411.9877319,0.05783952773,411.9877319,0.02646501921,411.9877319,0.03015252575,
410.9852295,85.66574097,410.9852295,0.008464056067,410.9852295,0.1162315533,410.9852295,0.05594247952,410.9852295,0.02533276379,410.9852295,0.02966702916,
409.9825745,85.67176056,409.9825745,-0.01599232294,409.9825745,0.112299338,409.9825745,0.05419985205,409.9825745,0.02472668886,409.9825745,0.02910605818,
409.01828,85.66582489,409.01828,0.002745065838,409.01828,0.1090058684,409.01828,0.05269974098,409.01828,0.02369631641,409.01828,0.02845183015,
408.0152283,85.69502258,408.0152283,0.01138303895,408.0152283,0.1061138585,408.0152283,0.05150173977,408.0152283,0.02311692573,408.0152283,0.02810422145,
407.0120544,85.68699646,407.0120544,0.008932825178,407.0120544,0.1036479324,407.0120544,0.05038895085,407.0120544,0.02248250134,407.0120544,0.02773691155,
406.0087585,85.69481659,406.0087585,-0.01881669834,406.0087585,0.1017170325,406.0087585,0.04949124902,406.0087585,0.02198371477,406.0087585,0.02751340903,
405.005249,85.71059418,405.005249,-0.008617717773,405.005249,0.09993539751,405.005249,0.04885166138,405.005249,0.02165256068,405.005249,0.02720642462,
404.0015259,85.70707703,404.0015259,-0.007373181172,404.0015259,0.098415941,404.0015259,0.04780830443,404.0015259,0.02116119489,404.0015259,0.02679077908,
402.9976807,85.70021057,402.9976807,0.02449779399,402.9976807,0.09685908258,402.9976807,0.04758134112,402.9976807,0.0206878949,402.9976807,0.02593938261,
401.9936829,85.73815155,401.9936829,0.01390201785,401.9936829,0.09616442025,401.9936829,0.04702425003,401.9936829,0.02056964859,401.9936829,0.02571325935,
400.989502,85.73404694,400.989502,0.01232627686,400.989502,0.09519918263,400.989502,0.04671576247,400.989502,0.02032601461,400.989502,0.02562057599,
399.985199,85.74952698,399.985199,0.02935305797,399.985199,0.09430062771,399.985199,0.04645174369,399.985199,0.02019609883,399.985199,0.02553191967,
399.0193481,85.75149536,399.0193481,0,399.0193481,0.09335456789,399.0193481,0.04614147544,399.0193481,0.02004426345,399.0193481,0.02553266101,
398.014679,85.77143097,398.014679,0.002885336755,398.014679,0.09297224879,398.014679,0.04582912475,398.014679,0.02019712888,398.014679,0.02522177994,
397.0098877,85.75021362,397.0098877,0.02256317623,397.0098877,0.09254659712,397.0098877,0.0455519855,397.0098877,0.0200416334,397.0098877,0.02493187413,
396.0049133,85.7365036,396.0049133,0.008890995756,396.0049133,0.09198165685,396.0049133,0.04539234564,396.0049133,0.01997004636,396.0049133,0.0247021094,
394.9997559,85.76435089,394.9997559,0.01450957637,394.9997559,0.09158423543,394.9997559,0.04550616443,394.9997559,0.0199075751,394.9997559,0.02489261702,
393.9944763,85.75707245,393.9944763,0,393.9944763,0.09121771157,393.9944763,0.0452917181,393.9944763,0.01997085847,393.9944763,0.02467440814,
392.9889832,85.66721344,392.9889832,-0.01844295301,392.9889832,0.09068467468,392.9889832,0.04501150548,392.9889832,0.01937270351,392.9889832,0.02356030606,
391.9833679,85.70584869,391.9833679,0.01445365231,391.9833679,0.09116706252,391.9833679,0.04532539099,391.9833679,0.0197593905,391.9833679,0.02374366671,
391.0162964,85.67501068,391.0162964,-0.004609144293,391.0162964,0.09080743045,391.0162964,0.04521268606,391.0162964,0.01994540915,391.0162964,0.02400183864,
390.0103455,85.64002228,390.0103455,-0.004562147893,390.0103455,0.09064500034,390.0103455,0.04547293484,390.0103455,0.01970897615,390.0103455,0.02284640074,
