Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
494.0028992,90.06377411,494.0028992,-0.003502259031,494.0028992,0.0004199698451,
493.015564,90.07657623,493.015564,-0.01267909259,493.015564,0.0003354822693,
491.9900513,90.09568024,491.9900513,0.00545196794,491.9900513,0.0003923495824,
491.0023499,90.12098694,491.0023499,-0.007591573521,491.0023499,0.0003996042651,
490.0144653,90.08672333,490.0144653,-0.008500148542,490.0144653,0.000389991852,
488.9882813,90.16431427,488.9882813,0.009450009093,488.9882813,0.0005500626285,
487.9999695,90.21382904,487.9999695,0,487.9999695,0.0005310127162,
487.0114136,90.25404358,487.0114136,0.003709749319,487.0114136,0.0006224338431,
485.9846802,90.27849579,485.9846802,0.008114906959,485.9846802,0.0007006249507,
484.9957581,90.31768799,484.9957581,0.01251355559,484.9957581,0.0007452489226,
484.0066223,90.39656067,484.0066223,0.006033546291,484.0066223,0.0006082023028,
483.0173035,90.40337372,483.0173035,-0.002404019469,483.0173035,0.0004928895505,
481.9897156,90.35173035,481.9897156,0.002967887558,481.9897156,0.0005044220597,
481.0000305,90.4523468,481.0000305,0.004078636412,481.0000305,0.0008831947926,
480.0101013,90.49117279,480.0101013,0.005109861959,480.0101013,0.000739959185,
478.9818115,90.53302765,478.9818115,0.01154834405,478.9818115,0.0005345116369,
477.9915466,90.58359528,477.9915466,0.008415146731,477.9915466,0.000688620552,
477.0010376,90.5656662,477.0010376,-0.01142400224,477.0010376,0.0003735398059,
476.0103455,90.6000824,476.0103455,0.01425394882,476.0103455,0.0007903702208,
474.9813538,90.58162689,474.9813538,-0.003012411064,474.9813538,0.0006225116667,
473.9902344,90.56730652,473.9902344,0.01225715503,473.9902344,0.0007055512397,
472.9989014,90.55621338,472.9989014,0.005972288549,472.9989014,0.0006318181404,
472.0074158,90.48656464,472.0074158,0.006275888067,472.0074158,0.0007478420157,
471.0157471,90.43170166,471.0157471,0,471.0157471,0.0004005370429,
469.9857483,90.39994812,469.9857483,0.01732351631,469.9857483,0.0006510280073,
468.9936829,90.29895782,468.9936829,0.002941435901,468.9936829,0.0007329321816,
468.0014343,90.16605377,468.0014343,-0.005666043609,468.0014343,0.0006425506435,
467.0089111,90.09976196,467.0089111,-0.02263787948,467.0089111,0.0009050616063,
466.0162964,89.97808838,466.0162964,0.01037559658,466.0162964,0.0007110739825,
464.9852905,89.83226013,464.9852905,-0.01690712385,464.9852905,0.0008503576973,
463.9921875,89.71255493,463.9921875,-0.01000500284,463.9921875,0.0006238855422,
462.9989929,89.60877991,462.9989929,0.01783894002,462.9989929,0.0007095701294,
462.0056458,89.45506287,462.0056458,0.005148535129,462.0056458,0.0007853392162,
461.0120544,89.36975861,461.0120544,-0.004653327167,461.0120544,0.001026192214,
460.018158,89.24983978,460.018158,-0.00427844096,460.018158,0.0009143482312,
458.9860229,89.16735077,458.9860229,-0.007039526943,458.9860229,0.0008983432199,
457.9918213,89.05164337,457.9918213,-0.01779715717,457.9918213,0.0009933443507,
456.9974365,88.93734741,456.9974365,0,456.9974365,0.0006045991322,
456.0029297,88.85679626,456.0029297,0.002502940828,456.0029297,0.0006729609449,
455.0082397,88.79314423,455.0082397,0.01325486507,455.0082397,0.0007964126999,
454.0132751,88.75733948,454.0132751,0.009939122945,454.0132751,0.0008101835847,
453.018219,88.70149231,453.018219,0,453.018219,0.001022092649,
451.9846191,88.64926147,451.9846191,0.008997661062,451.9846191,0.0008895238861,
450.9891663,88.55233002,450.9891663,0.004426639527,450.9891663,0.0007461564965,
449.9935303,88.48666382,449.9935303,0.009248554707,449.9935303,0.0009294459014,
448.9976807,88.47758484,448.9976807,0.01559494715,448.9976807,0.0008004064439,
448.0016479,88.46137238,448.0016479,0.01457301155,448.0016479,0.0009060473531,
447.0054321,88.4001236,447.0054321,0,447.0054321,0.0008294013096,
446.0090637,88.40585327,446.0090637,0.008158936165,446.0090637,0.0009959129384,
445.0124512,88.33422852,445.0124512,0.01989099756,445.0124512,0.000789177313,
444.0157471,88.33113098,444.0157471,0.004402958788,444.0157471,0.0009710319573,
443.0187988,88.32263184,443.0187988,-0.01474926248,443.0187988,0.001038413495,
441.9833069,88.33126068,441.9833069,0,441.9833069,0.001185589237,
440.9859619,88.28138733,440.9859619,0.004011070821,440.9859619,0.001044407603,
439.9885254,88.30589294,439.9885254,0.007682261523,439.9885254,0.001153430087,
438.9908447,88.23055267,438.9908447,-0.008570816368,438.9908447,0.0007195785875,
437.992981,88.25798035,437.992981,-0.00895114895,437.992981,0.0008560119313,
436.9950256,88.29506683,436.9950256,-0.002177463379,436.9950256,0.001056162291,
435.9967957,88.29647064,435.9967957,0.00250463374,435.9967957,0.001014438341,
434.9984436,88.3471756,434.9984436,0.01888618805,434.9984436,0.001090753707,
433.9998474,88.37220001,433.9998474,0.01526484545,433.9998474,0.001077648601,
