Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
3210;1.186186;1.460804;1.037962;1.469584;1.343781
3220;1.045146;1.187332;1.031024;1.187885;1.342103
3230;1.029094;1.406607;1.190844;1.228952;1.120262
3240;1.470753;1.160112;1.207177;1.266655;1.028418
3250;0.934577;1.333437;1.227679;1.253523;1.206729
3260;1.195413;0.917189;1.189200;1.104079;1.055999
3270;0.975803;1.250889;0.942735;1.339154;1.230247
3280;1.331331;1.329666;1.347712;1.151357;1.175578
3290;1.253008;0.959686;1.218383;1.094687;1.003541
3300;1.062849;1.235032;1.203852;0.966931;1.361918
3310;1.336531;1.094678;1.097243;1.220688;1.072786
3320;1.164643;1.055368;1.037005;1.291883;1.182248
3330;1.109560;1.058411;1.358964;1.500337;1.039502
3340;1.425925;1.081576;1.240260;1.057269;0.974419
3350;1.047735;1.328835;1.007770;0.909668;0.960503
3360;1.027204;1.383722;1.079973;1.283292;1.247866
3370;1.301982;0.792029;1.323687;1.208434;1.225900
3380;0.893040;1.028923;1.243331;1.142769;0.942195
3390;1.335526;1.229951;1.315278;1.036419;1.192476
3400;1.041054;1.083732;1.197375;1.065671;1.233681
3410;1.070254;1.164805;1.060006;1.174518;1.119450
3420;1.193982;1.114619;1.140209;0.897679;1.383036
3430;1.062838;1.099828;1.212168;1.120200;1.287486
3440;1.272878;1.059519;1.162725;1.458946;0.942485
3450;1.049735;1.294712;1.070917;1.251334;1.130329
3460;1.259863;1.042463;1.090685;1.169719;1.101998
3470;1.196436;1.058074;0.963328;0.984164;0.970651
3480;1.482288;0.862676;0.897732;1.207834;1.062079
3490;1.039113;1.139011;1.303621;0.834530;0.849455
3500;1.035771;1.241469;1.225816;1.310817;1.085995
3510;0.936008;1.117799;1.252991;0.978464;1.219098
3520;0.964640;0.840156;0.890088;0.995072;1.071048
3530;1.199621;1.290762;1.104120;1.044742;0.848421
3540;1.007792;1.172858;0.990626;1.170726;0.888151
3550;1.051394;1.040291;1.139935;0.764823;0.977160
3560;1.080690;1.045959;1.122221;1.049320;1.044604
3570;0.944729;0.774405;0.976076;1.167003;1.061420
3580;1.060544;0.931138;1.049041;1.071931;1.050889
3590;1.100269;0.962734;0.802306;0.962078;0.791142
3600;0.904706;1.026299;0.860469;0.941816;0.769261
3610;0.969264;1.077633;1.163579;1.092653;1.170241
3620;0.917116;1.032068;0.952707;0.968209;0.993143
3630;1.043479;1.188864;1.105854;0.969354;0.990672
3640;0.971026;1.031779;0.795570;1.141524;0.813798
3650;0.763820;0.703399;0.900034;1.021625;1.002284
3660;0.912096;1.052306;1.142895;0.896731;1.033357
3670;0.943328;0.841876;0.889756;0.921212;1.081315
3680;1.153950;1.004975;0.904835;1.097973;1.054553
3690;0.982545;1.235096;0.879540;1.100702;0.833791
3700;1.099082;0.989233;1.074517;0.797885;0.877807
3710;1.138645;1.211320;0.811724;1.006129;0.922946
3720;1.078007;0.974508;0.895577;0.863637;0.954201
3730;0.695724;1.003728;0.961339;0.962429;0.997159
3740;1.103559;0.926330;0.969711;0.660056;1.038418
3750;1.141679;0.772894;0.756797;0.679690;0.762763
3760;0.960145;0.844011;0.925756;1.027650;0.820145
3770;1.067775;0.622591;1.004127;0.597022;0.758897
3780;0.852892;1.211069;1.211080;0.875334;1.066665
3790;0.906159;1.094436;0.963979;0.670759;0.970566
3800;0.762182;0.800809;0.755826;0.974568;0.869708
3810;1.036468;1.094131;0.589839;0.846026;0.644464
3820;0.863813;0.897448;1.174076;0.973902;1.099735
3830;0.949001;0.730215;0.844117;0.918023;0.962751
3840;0.753017;0.793920;0.767438;0.809093;1.232904
3850;0.934279;0.858805;0.884305;1.012364;1.146674
3860;1.105677;0.566093;1.013253;0.857230;0.947398
3870;1.092225;1.217590;0.827513;0.974037;0.843812
3880;0.876336;0.970462;0.690687;0.724374;0.778976
3890;0.831442;0.744234;0.979425;1.143799;0.808257
3900;0.857594;0.835907;0.658720;0.893970;0.817564
3910;0.845076;0.653875;0.868429;0.795277;0.969233
3920;0.673426;0.954071;0.757379;0.924651;1.053451
3930;0.950428;0.661006;0.955439;0.669972;1.104563
3940;0.622549;0.941169;0.996451;1.017551;0.886344
3950;0.924830;0.783613;0.721050;0.791480;0.805271
3960;0.933807;0.845534;0.963563;0.832725;0.462899
3970;0.545729;0.921384;0.716448;0.749720;1.091806
3980;0.613407;0.813608;0.986721;1.136069;0.775159
3990;1.017146;0.644964;1.107248;0.839700;0.859655
4000;1.031392;0.733675;1.012591;0.752910;0.844070
4010;0.762307;1.167592;0.941075;0.911841;0.689924
4020;0.883365;0.950806;0.540856;0.701717;0.923770
4030;0.810057;0.970141;0.668666;0.766164;0.480538
4040;0.773853;0.869647;0.927816;0.997561;0.639748
4050;0.587775;0.804507;0.511282;0.751107;0.590625
4060;0.833695;0.946154;0.836898;0.775665;0.773686
4070;1.073126;0.929546;0.517629;1.016677;0.680874
4080;0.901405;0.733591;0.764888;0.804941;0.609567
4090;0.699179;0.911265;0.724299;1.031435;0.732164
4100;0.858994;0.756099;0.663006;0.963214;0.899558
4110;0.834336;0.771287;0.625787;0.884833;0.892339
4120;0.850851;0.956019;0.648164;0.771383;0.788034
4130;0.656747;0.647706;0.627202;0.721219;0.684195
4140;0.750571;1.045119;0.746104;0.897087;0.751577
4150;0.855022;0.552766;0.994265;0.956393;0.563263
4160;0.778321;0.757552;0.688918;0.687268;0.827443
4170;0.744927;0.586185;0.934879;0.952994;0.675217
4180;0.654995;0.922022;0.606699;0.726228;0.741792
4190;0.720278;0.662101;0.670964;0.808534;0.664000
4200;0.498082;0.561396;1.066776;1.095316;0.816130
4210;0.644055;0.606394;0.933106;1.024982;0.514617
4220;0.928902;0.824861;0.632320;0.686620;0.723251
4230;0.627347;0.850902;0.687350;0.752853;0.807685
4240;0.713424;0.888811;0.587632;0.750599;0.829514
4250;0.775061;0.750872;0.885864;0.767990;0.444980
4260;0.620278;0.596787;0.791499;0.857683;0.808074
4270;0.723224;0.766277;0.605575;0.956436;0.517775
4280;0.723107;0.776057;0.526545;0.637285;0.580732
4290;0.569527;0.697194;0.575826;0.821150;1.027758
4300;0.735907;0.875430;0.613642;0.757752;0.781208
4310;0.821812;0.708190;0.779601;0.995827;0.872208
4320;0.875704;0.862308;0.669469;0.679475;0.903709
4330;0.612863;0.484866;0.525176;1.005963;0.862608
4340;0.904594;0.977727;0.987571;0.691473;0.744054
4350;0.636150;0.810768;1.152354;0.512922;0.418024
4360;1.006269;0.958659;0.581104;0.938000;0.895179
4370;0.750404;0.751394;0.974996;0.559864;0.479672
4380;0.668277;1.071107;0.764551;0.697924;0.436958
4390;0.797887;0.512282;1.127741;0.723983;0.501107
4400;0.887386;0.655694;0.761409;0.643064;0.879611
4410;0.683966;0.780964;0.785910;0.809279;0.742586
4420;0.563775;0.920540;0.731751;0.641571;0.912029
4430;0.612444;0.733922;0.685632;0.496817;0.701434
